client_id,visitor_id,completed,duration,age,clnt_tenure,last_step,completed_numeric
1028,42237450_62128060588,no,8.97,36.0,12 years ,step_1,0
1104,194240915_18158000533,no,,48.0,5 years ,,0
1186,446844663_31615102958,no,0.37,22.0,8 years ,step_2,0
1195,766842522_69992551638,yes,4.08,54.5,21 years ,confirm,1
1197,753759429_54481946928,yes,1.58,28.5,7 years ,confirm,1
1368,366307863_19014662045,no,,45.0,5 years ,,0
2439,607208067_70160939111,no,,56.0,11 years ,,0
2581,770616558_80928163524,no,,22.0,4 years ,,0
3647,742136411_92170694666,no,-3.83,63.0,15 years ,step_3,0
3743,179439784_83920302761,yes,4.87,30.0,6 years ,confirm,1
5354,233679354_36495397627,yes,-1431.03,50.5,4 years ,confirm,1
6642,378857471_644475492,yes,7.38,35.5,12 years ,confirm,1
6977,792636892_70609946663,yes,3.78,53.0,4 years ,confirm,1
6985,157368510_91928042506,yes,5.52,61.5,7 years ,confirm,1
7020,131463516_45910398094,yes,-1736.17,41.5,16 years ,confirm,1
7567,163847730_30321246396,yes,2.35,33.0,21 years ,confirm,1
8039,118857899_74239220729,no,4.45,58.0,18 years ,step_3,0
8101,757154552_88739859416,yes,15.9,70.5,11 years ,confirm,1
8124,615009708_53442935870,no,,42.0,14 years ,,0
9229,810786857_11889939941,no,-0.13,42.0,8 years ,step_2,0
9767,764845651_97641705844,yes,4.65,34.0,6 years ,confirm,1
9845,28074747_75599315539,no,,25.0,5 years ,,0
10344,143222235_99177457862,no,,82.0,17 years ,,0
11054,952592414_63731951988,yes,8.48,60.0,4 years ,confirm,1
11070,503142724_47551214565,no,2.47,53.5,14 years ,step_3,0
11070,615941288_43248755936,yes,6.68,53.5,14 years ,confirm,1
11122,794370601_86104737583,yes,3.52,40.5,16 years ,confirm,1
12045,419605351_64615520304,no,0.8,37.0,12 years ,step_2,0
13009,360435735_44466390795,yes,6.62,63.5,10 years ,confirm,1
13831,592410323_73923628204,no,0.47,42.0,16 years ,step_2,0
13831,841596667_34744324631,no,-0.32,42.0,16 years ,step_1,0
14775,336553386_56689975698,no,,28.0,15 years ,,0
16095,949438903_33910261122,no,1.15,30.0,6 years ,step_3,0
16135,375602926_50119717068,yes,3.17,63.5,14 years ,confirm,1
16135,973833159_30067220181,no,0.05,63.5,14 years ,step_1,0
16202,74006986_82466416065,no,0.35,36.0,7 years ,step_1,0
16549,507602243_76391579078,no,,55.5,24 years ,,0
16549,536420175_30932891358,no,0.27,55.5,24 years ,step_1,0
16549,784001246_8842193453,yes,50188.68,55.5,24 years ,confirm,1
16679,959665218_67396459252,no,-62839.8,40.0,7 years ,step_2,0
16679,969102987_82457129532,no,,40.0,7 years ,,0
16744,766096095_2144396134,no,,62.0,18 years ,,0
16747,191665641_90974278230,yes,2.6,31.5,13 years ,confirm,1
17008,970665876_3539744812,yes,5.43,55.5,25 years ,confirm,1
17036,570333483_58821278508,yes,3.35,34.5,5 years ,confirm,1
17160,140068625_65716672913,yes,5.35,53.5,14 years ,confirm,1
17160,666738639_90225008330,no,0.08,53.5,14 years ,step_1,0
18660,752495227_56656898955,no,-0.15,45.0,18 years ,step_1,0
18973,934481653_7373414750,yes,6.27,54.0,13 years ,confirm,1
19613,202312306_84458574057,no,,26.0,7 years ,,0
19782,622496272_80605608962,yes,7.65,61.5,6 years ,confirm,1
19813,670697421_80054613810,yes,11.18,65.0,14 years ,confirm,1
19832,129098786_3400630737,yes,6.85,63.5,14 years ,confirm,1
20091,837374771_48545978049,yes,2.23,21.0,5 years ,confirm,1
20537,200556165_70944647198,yes,3.92,74.5,9 years ,confirm,1
20898,165663625_75766926467,no,,27.0,4 years ,,0
21242,28758684_34903550390,yes,1.35,30.5,13 years ,confirm,1
21353,600870620_47652177803,yes,4.25,77.5,21 years ,confirm,1
21498,112796748_95489419773,yes,7.35,70.5,16 years ,confirm,1
21719,196314004_84192683360,no,2.55,27.0,5 years ,step_3,0
21940,290323712_179611209,yes,2.57,43.5,12 years ,confirm,1
21940,805212536_88115807517,no,-9586.68,43.5,12 years ,step_2,0
21970,884689567_69949404962,yes,-1.3,22.5,5 years ,confirm,1
22885,7801409_9805440892,no,4.55,32.0,5 years ,step_3,0
23276,45006070_62818213457,yes,4.47,67.5,13 years ,confirm,1
23864,138132593_28891880113,yes,5.47,47.5,16 years ,confirm,1
24079,934903928_93987640180,no,,30.0,10 years ,,0
24710,857551556_48358885617,yes,3.78,49.0,21 years ,confirm,1
25043,126533598_19634703847,yes,2.05,59.5,25 years ,confirm,1
25766,166531704_28515622010,yes,5.55,33.5,15 years ,confirm,1
26211,182472276_98193362635,yes,9.75,41.5,15 years ,confirm,1
26286,108334206_5186343436,no,0.67,71.0,12 years ,step_1,0
27021,533602374_23301907469,yes,2.33,34.5,9 years ,confirm,1
27241,111165291_70855004699,yes,-0.95,34.5,8 years ,confirm,1
27241,157215519_55925767374,no,,34.5,8 years ,,0
27554,173459122_5671827927,yes,1.57,36.0,16 years ,confirm,1
27988,614125491_26789370797,yes,2.25,60.0,28 years ,confirm,1
28542,114973176_59081782015,yes,8.17,55.0,16 years ,confirm,1
28705,671211728_52294615240,yes,3.63,53.0,15 years ,confirm,1
28845,274228726_97307081181,yes,2.88,33.5,12 years ,confirm,1
28857,92635092_88286701142,yes,9.3,52.0,14 years ,confirm,1
29595,343737541_19063774853,yes,30085.88,37.0,5 years ,confirm,1
31191,435999517_58802561762,no,,20.0,15 years ,,0
31264,91691909_20643284493,yes,2.67,37.0,14 years ,confirm,1
31502,997960069_79388660924,yes,1.95,47.5,7 years ,confirm,1
31715,272010997_86325403627,yes,2.82,32.5,7 years ,confirm,1
32197,212910548_17742344909,yes,3.55,42.5,15 years ,confirm,1
32305,192627031_48107277379,no,1.23,69.0,7 years ,step_1,0
32859,658762479_98727780351,no,2.53,66.0,4 years ,step_3,0
33190,18953743_34226483016,yes,7.58,44.0,14 years ,confirm,1
33463,952539351_71791673316,yes,3.05,33.5,4 years ,confirm,1
34067,903578810_54395828122,yes,9.65,65.5,21 years ,confirm,1
34267,65518856_8852359224,yes,1.83,74.5,21 years ,confirm,1
34501,123079717_22151462290,no,-0.03,40.0,11 years ,step_1,0
34501,744482577_79498082034,no,,40.0,11 years ,,0
34603,924117810_5992136652,yes,5.52,40.5,16 years ,confirm,1
